"abertura";"tipo";"solicitacao";"descricao";"tipo_solicitacao";"origem";"situacao"
"2016-05-12";"Iluminação Pública Irregular";"Lâmpadas queimadas na rua Marechal Floriano 186, esquina com Santos Dumont, bem em frente a Praça do Pop Center. ";"Centro                                                                                              ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-12";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO; RUA JOAQUIM OLIVEIRA, N°170, BAIRRO: TRÊS VENDAS.";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-12";"Projetos da cidade.";"Na rua Pavimentada que se chama Rodrigues Alves na altura do numero 363 o cidadão diz ter feito varias reclamações a Prefeitura e não conseguiu retorno pois a frente da sua casa com qualquer volume de chuva fica uma ilha o cidadão veio até a ouvidoria com fotos pedindo que seja feito algo para que acabe com esse problema porque para levar seus filhos a escola dia de chuva todos saem descalços tamanha quantidade de água na frente da sua residencia.  RUA RODRIGUES ALVES BAIRRO FRAGATA GOTUZO N°363.";"Fragata                                                                                             ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-12";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO; RUA VISCONDE DE OURO, N°101, BAIRRO: AREAL.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-12";"Vazamento de água potável";"Cidadã alega vazamento na rua conde de porto alegre esquina  andrade neves no meio da rua.";"Centro                                                                                              ";"Denuncia";"Telefone";"Fechado"
"2016-05-12";"Rua esburacada";"SOLICITA CONSERTO NO CALÇAMENTO NO ENDEREÇO; RUA 4, N°360, BAIRRO: AREAL / LOT. LIBERDADE.";"Areal                                                                                               ";"Reclamação";"Telefone";"Fechado"
"2016-05-12";"Limpeza Urbana";"Cidadão pede limpeza urgente em frente ao seu estabelecimento na Rua corredor do obelisco Nº3187 Bairro Areal.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-12";"Iluminação Pública Irregular";"TROCA DE DUAS LAMPADAS NO ENDEREÇO; RUA 4, N°360, BAIRRO: AREAL / LOT. LIBERDADE.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-12";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO; RUA RUA URUGUAI COM ESQUINA RUA GONÇALVES CHAVES, BAIRRO; CENTRO. OBS SOLICITAÇÃO JÁ FEITA ANTIGAMENTE, POREM DEMANDANTE PERDEU O N° DE PROTOCOLO.";"Centro                                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-13";"Calçada irregular";"CIDADÃ DENUNCIA MORADOR PRÓXIMO A SUA RESIDÊNCIA QUE UTILIZA A CALÇADA COMO COCHEIRA, NA RUA NICOLAU VERGUEIRO ESQUINA EDUARDO GUIMARÃES, BAIRRO FRAGATA. ALÉM DO TRANSTORNO CAUSA MAL CHEIRO, TAL SITUAÇÃO VEM OCORRENDO EM TORNO DE 2 MESES. OBS.: ELE JÁ FOI NOTIFICADO OUTRAS VEZES.";"Fragata                                                                                             ";"Denuncia";"Telefone";"Fechado"
"2016-05-13";"Iluminação Pública Irregular";"Cidadã solicita reposição de lampada na rua Gonçalves Chaves nº 4541 entre Juscelino e Bandeirantes bairro Areal ";"Areal                                                                                               ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-13";"Iluminação Pública Irregular";"Cidadão solicita reposição de lampadas na rua da Conquista nº 170 (antiga rua Três loteamento dois de Abril) já trocaram a alguns dias mas foi quebrada se possível colocar tela de proteção  Urgente. ";"Fragata                                                                                             ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-13";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO; RUA CONSELHEIRO SILVEIRA MARTINS, N°105, BAIRRO: AREAL.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-13";"Limpeza Urbana";"Cidadã solicita limpeza da rua Argolo no trecho entre Marcílio Dias e o Hospital Cruz de Prata, fundos do Colégio Pelotense. Ela reclama que a limpeza é realizada sempre a partir da rua Marcílio Dias.";"Centro                                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-13";"Unidade Básica de Saúde";"CIDADÃO ALEGA NO POSTO DE SAÚDE DO BAIRRO: LARANJAL / BALNEARIO SANTO ANTONIO NA PARTE DA TARDE, ESTA HAVENDO UM DESCASO COM A POLUÇÃO, VISTO ESTAR CUMPRINDO HORÁRIO (O POSTO ABRE PELA MANHA E NÃO ABRE A TARDE NAS SEXTAS-FEIRAS) E TER MUITA DIFICULDADE PARA FORNECIMENTO DE RECEITA, POIS AS PESSOAS TEM QUE SOLICITAREM A MESMA SEMANA ANTES. ";"Laranjal                                                                                            ";"Reclamação";"Telefone";"Fechado"
"2016-05-13";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO; RUA ANDRADE NEVES, N°445, BAIRRO: CENTRO.";"Centro                                                                                              ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-13";"Estacionamento Irregular";"CIDADÃO ALEGA QUE HOJE 12/05, ESTAVA UMA CAMINHONETE MAl ESTACIONADA EM FRENTE A SUA RESIDENCIA NO ENDEREÇO; RUA GONÇALVES CHAVES,N °663, BAIRRO: CENTRO, O QUAL CHAMOU UMA VIATURA DOS AZUILZINHOS E OS MESMOS FORAM ATÉ O LOCAL E NADA FOI FEITO, SIMPLESMENTE FICARAM OLHANDO O PROBLEMA.";"Centro                                                                                              ";"Reclamação";"Telefone";"Fechado"
"2016-05-13";"Iluminação Pública Irregular";"Rua Domingos de Almeida, precisa ser verificado se no poste tem mal contato. Pois as lampadas queimam rapidamente. Número 1920. Próximo as antenas da oi.  ";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-16";"Poda e Retirada de Árvore";"Cidadão pede poda de árvore na rua Salvador Balreira Nº32 Bairro Nossa Senhora de Fátima.";"Nossa Senhora de Fátima                                                                             ";"Solicitação de Serviço";"Telefone";"Aberto"
"2016-05-16";"Vazamento de água potável";"moradores denunciam um vazamento de água no Passeio Um na frente do nº 256 no Navegantes lll ( Ou Loteamento Dona Dulce)próximo ao campo do São Jorge  paralelo a AV. Arthur de Souza Costa.";"Navegantes III                                                                                      ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-16";"Buraco na via pavimentada";"Cidadão denuncia que na rua Antonio dos Anjos esquina Prof. Araujo tem um buraco pede concerto com ergência ";"Três Vendas                                                                                         ";"Denuncia";"Telefone";"Fechado"
"2016-05-16";"Iluminação Pública Irregular";"Cidadão solicita a reposição de lampada na rua Prof. Vanda da Silva Chagas nº 955 Colina do Sol  Três Vendas";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-16";"Iluminação Pública Irregular";"Cidadão pede troca de iluminação na Rua Aratiba Nº Bairro barro dura , Balneário dos Prazeres.";"Balneário dos Prazeres                                                                              ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-16";"Obra irregular";"Cidadã pede fiscalização no numero 679 no bairro três vendas ao lado do colegio Jacob Brod na rua Rudi Bonow em um chalé.";"Três Vendas                                                                                         ";"Denuncia";"Telefone";"Fechado"
"2016-05-16";"Semáforo Danificado";"Cidadão solicita reparo no pisca alerta da frente do colégio Luis Braille  ";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-16";"Infestação de roedores";"CIPRIANO MASCARENHAS, 533, FRAGATA, PATIO COM ENTULHOS E SUJEIRA, CAUSANDO  INFESTAMENTO DE ROEDORES ";"Fragata                                                                                             ";"Denuncia";"Telefone";"Fechado"
"2016-05-16";"Buraco na via pavimentada";"Cidadão denuncia um buraco na rua Marcilio Dias esquina com Cassiano ";"Três Vendas                                                                                         ";"Denuncia";"Telefone";"Aberto"
"2016-05-16";"Buraco na via NÃO pavimentada";"BURACO NA RUA, PURO BARRO, ARNALDO MESQUITA ESQUINA RUA 12, BOM JESUS, RUA DA IGREJA, MAIS DE 1 MÊS.";"Bom Jesus                                                                                           ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-16";"Iluminação Pública Irregular";"Cidadão pede troca de luz na rua Campo bom Nº216 Bairro Barro duro Balneário dos prazeres.";"Balneário dos Prazeres                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-17";"Mau atendimento em escolas";"Cidadã entra em contato sobre as salas alugadas pela Prefeitura em escola estaduais. Com a greve da rede estadual, ela relata que na escola do Estado Leila Olmos, alunos da escola municipal Piratinino de Almeida estão sem aula pois a escola estadual não está abrindo. Questiona como resolver a situação.";"Areal                                                                                               ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-17";"Buraco na via pavimentada";"Cidadã denuncia que na rua General Argolo entre Marcílio Dias e o Cruz de prata ao lado do colégio pelotense tem um buraco muito grande rua pavimentada.  ";"Centro                                                                                              ";"Denuncia";"Telefone";"Fechado"
"2016-05-17";"Poda e Retirada de Árvore";"Cidadã solicita a poda de uma arvore na rua Carlos Gomes ao lado do nº 518 Próximo ao ESEF no bairro Três Vendas Entrada pela terceira rua depois do POIS POIS  (Proprietária mora ao lado nº 518) ";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-17";"Comercialização irregular";"Lojista da rua Marechal Floriano entre Andrades e  Osório denunciam que ao lado da Shamur tem um vendedor fritando pastel na calçada e que o cheiro das frituras esta invadindo as lojas.";"Centro                                                                                              ";"Denuncia";"Telefone";"Fechado"
"2016-05-17";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO; RUA ARNALDO DA SILVA FERREIRA, BLOCOº330, AP °404, BAIRRO: COHAB GUABIROBA.";"Cohab Guabiroba                                                                                     ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-17";"Buraco na via pavimentada";"Cidadã denuncia que na rua General Argolo entre Marcílio Dias e o Cruz de prata ao lado do colégio pelotense tem um buraco muito grande rua pavimentada.  ";"Centro                                                                                              ";"Denuncia";"Telefone";"Fechado"
"2016-05-17";"Poda e Retirada de Árvore";"Cidadão solicita poda de árvore no endereço, Luis Penafiel, com esquina Rua Maestro Bandeira; (atrás do Parque Tênis Clube)";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Aberto"
"2016-05-17";"Poda e Retirada de Árvore";"Cidadão pede poda na rua Dr. Albuquerque Barros  na frente do numero 672 no centro próximo ao Cruz de Prata entre Senador Mendonça e bento Gonçalves cidadão diz que a arvore secou e esta atrapalhando seu passeio cidadão de muita idade nascido em 1931 pede urgência.";"Centro                                                                                              ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-17";"Iluminação Pública Irregular";"Lâmpada queimada na rua Rua Três de Maio, número 540, esquina Rua Bento Martins. ";"Porto                                                                                               ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-17";"Bueiro Entupido ";"Moradora da rua Vidal de Negreiros, 982, no Fragata, envia foto sobre rua alagada, diz que já acionou o Sanep contudo nada foi feito. Bueiros precisam de limpeza. ";"Fragata                                                                                             ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-17";"Recolhimento de entulho";"RECOLHIMENTO DE ENTULHO (RESTOS DE OBRAS) NO ENDEREÇO; AV ARTHUR AUGUSTO ASSUMPÇÃO, DUAS CASAS APOS AO N°927, BAIRRO: LARANJAL / VALVERDE. ";"Laranjal                                                                                            ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-17";"Limpeza Urbana";"Cidadão solicita limpeza de valetas na Av. Piaui 5815 entre Panambi  Lavras do Sul Balneário dos Prazeres Laranjal e também pede iluminação  neste endereço pois esta muito escuro  ";"Balneário dos Prazeres                                                                              ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-17";"Limpeza Urbana";"Cidadão pede limpeza de galhos cortados pela CEEE na rua Ernani Osmar Blass de frente ao bloco 606 Bairro Cohab lindóia.";"Cohab Lindóia                                                                                       ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-17";"Imóvel abandonado";"Cidadão denuncia novamente imóvel abandonado, com vazamento de água potável, em plena Rua Gonçalves Chaves, n° 3148. O cidadão já fez denuncia sobre esta demanda e obteve resposta de que o proprietário foi notificado a fazer uma limpeza porem alem de nada ter sido feito a aglomeração de drogados lixo  e vários outros tipos de desnecessidade.  A Informação também passada do cidadão é de que em breve vai virar ponto de trafico se nada for feito até mesmo pede que aguarda municipal ou qualquer órgão competente em segurança analise este local com mais atenção. ";"Centro                                                                                              ";"Denuncia";"Presencial";"Fechado"
"2016-05-17";"Buraco na via pavimentada";"Cidadão reclama de buraco em via pavimentada na Av. Pinheiro Machado, próximo ao distrito industrial, na rota de acesso à Fenadoce. ";"Centro                                                                                              ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-17";"Buraco na via pavimentada";"Cidadã denuncia que na rua General Argolo entre Marcílio Dias e o Cruz de prata ao lado do colégio pelotense tem um buraco muito grande rua pavimentada.  ";"Centro                                                                                              ";"Denuncia";"Telefone";"Aberto"
"2016-05-18";"Rua esburacada";"SOLICITA TAPA BURACOS NO ENDEREÇO; RUA JOSE LINS DO REGO, PRÓXIMO AO N°300, BAIRRO: FRAGATA.";"Fragata                                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Criação de animais em condições precárias";"Cidadão denuncia que na rua Dr. Rasgado ao lado do nº 55-A bairro Fátima tem uma moradora com Cachorros em condições precárias um filhote já morreu e os outros estão quase mortos pede fiscalização urgente.";"Nossa Senhora de Fátima                                                                             ";"Denuncia";"Telefone";"Fechado"
"2016-05-18";"Poda e Retirada de Árvore";"Cidadão solicita a poda de Arvore e  um jambolão  na rua Santo Michelon Ao lado do nº 551 Bairro Fragata Próximo a Teodoro Miller ";"Fragata                                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Unidade Básica de Saúde";"CIDADÃ REIVINDICA DEVIDO NO POSTO DE SAUDE DA BOM JESUS (UBI), OS ATENDENTES ESTAREM NEGANDO ATENDIMENTO A POPULAÇÃO PELO FATO DE ALGUNS NÃO SEREM DA AREA, POIS A DEMANDANTE QUE ESTA DIAGNOSTICO DE H1N1 PROCUROU A UNIDADE PARA UMA EMERGÊNCIA E O MESMOS NÃO QUISERAM ATENDE-LA POR ESTE SIMPLES MOTIVO.";"Bom Jesus                                                                                           ";"Reclamação";"Telefone";"Fechado"
"2016-05-18";"Vazamento de água potável";"Cano de água quebrado na rua Coronel Alberto Rosa, entre a Dom Pedro I e a Três de Maio, quase no meio da quadra. ";"Porto                                                                                               ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-18";"Iluminação Pública Irregular";"Cidadã solicita reposição de lampadas na rua João Cavalheiro da Cunha Antiga ( antiga rua três) nº 301 esquina Com  Av. Jeovane Guimarães  (antiga Av. vinte) duas Lampadas ";"Dunas                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Projetos da cidade.";"Cidadã reclama de um buraco no meio da rua onde ha uma caçamba cheia, na Rua Zilda Morrone Nº 837 Bairro três vendas colina do sol.";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Poda e Retirada de Árvore";"Poda de árvore no prolongamento da rua 1 do Obelisco, Francisco Ribeiro da Silva, 280.";"Obelisco                                                                                            ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-18";"Limpeza Urbana";"Trabalhadores da empresa Sersul trabalhando de madrugada na rua Pinto Martins, próximo ao número 204, aos gritos, sem deixar as pessoas descansarem. Cidadã pede esclarecimentos. ";"Centro                                                                                              ";"Denuncia";"Facebook - 1";"Fechado"
"2016-05-18";"Recolhimento de entulho";"RECOLHIMENTO DE ENTULHO NO ENDEREÇO; RUA CANDELÁRIA, N°669, BAIRRO: BARRO DURO.";"Laranjal                                                                                            ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Poda e Retirada de Árvore";"Cidadão pede poda com urgência na rua Barão de Itamaraca no bairro Areal lot. Cruzeiro em frente ao n°360 aonde a mais de um ano o cidadão fez o pedido de poda e hoje esta muito grande a arvore e perigosa com estes ventos  cidadão pede novamente urgência.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Iluminação Pública Irregular";"Cidadã pede reposição na rua Praça Vinte de Setembro em frente ao n°747. Centro.";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO: RUA LINDOLFO COLLOR, N°38, BAIRRO: TRÊS VENDAS.";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Buraco na via NÃO pavimentada";"Moradora da Rua Siqueira Campos no bairro Simões Lopes pede com urgência patrolamento em toda a extensão pois esta muito esburacada. ";"Simões Lopes                                                                                        ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-18";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO; RUA GONÇALVES LEDO AO LADO DO N°553, COM ESQUINA RUA CAMPO SALLES, BAIRRO: FRAGATA.";"Fragata                                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-19";"Sinalização irregular";"Pintura da lombada em frente ao posto de saúde da Vila Santos Dumond, na Cohab Tablada. ";"Cohab Tablada                                                                                       ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-19";"Poda e Retirada de Árvore";"CIDADÃO SOLICITA PODA DE ÁRVORE NA RUA JOÃO CARLOS GASTAL, 130.";"Areal                                                                                               ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-19";"Lixeira quebrada / Contêiner ";"Cidadã envia foto de lixeira quebrada, sem fundo, com resíduos podres - inclusive um corpo de um cachorro em decomposição - em frente à uma praça na Rua Jose Rizzolo, quadra 2, em frente ao Dinnos Auto Lavagem, na Cohab Lindóia. Pedido de providências. ";"Cohab Lindóia                                                                                       ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-19";"Limpeza Urbana";"Recolher galhação e tronco de árvore na rua Dom Francisco Barreto, 275, Simões Lopes. Obs.: segundo a cidadã, é uma árvore de grande porte, diâmetro aproximadamente de 60 centímetros.";"Simões Lopes                                                                                        ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-19";"Buraco na via NÃO pavimentada";"Buracos nas ruas Ana Neri, próximos ao número 81, e na rua Marcelino Ramos, próximo ao número 211.";"Cohab Tablada                                                                                       ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-19";"Poda e Retirada de Árvore";"Cidadã solicita a poda de arvores numa praça  na rua Dois frente ao nº 68 Residencial Terra Nativa Paralela ao Corredor do Obelisco  e ao Par Querencia Areal segundo a Solicitante as arvores estão servindo de abrigo para usuários de drogas e assaltantes. Pede com Urgência ";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-19";"Mau atendimento SERTEL";"Cidadão entra em contato e afirma que há um mes colocou crédito no aplicativo de estacionamento mas nao consegue cadastrar placa nova pois da erro no aplicativo. A central de mobilidade foi contatada e confirmou problema no aplicativo. Recomendam cadastrar pelo site, só que o site também está com problema - mensagem de serviço indisponível. Cidadão questiona como proceder. ";"Centro                                                                                              ";"Reclamação";"Facebook - 1";"Fechado"
"2016-05-19";"Iluminação Pública Irregular";"Cidadã pede troca de iluminação na rua Hildo dama Nº651 Bairro pestano.";"Pestano                                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-19";"Limpeza Urbana";"Cidadão solicita corte de grama na avenida Professor Agustín Agapito Franco, no Residencial Arcobaleno, no bairro Arco-Íris
";"Arco-Íris                                                                                           ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-19";"Iluminação Pública Irregular";"Cidadã pede troca de iluminação na Rua Daniel Robison silveira de moraes frente ao Nº465 Bairro dunas.";"Dunas                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-19";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO; RUA GENERAL OSÓRIO, ENTRE RUA ALMIRANTE TAMANDARÉ E RUA CONDE DE PORTO ALEGRE, BAIRRO: CENTRO. OBS: EXISTEM VÁRIOS PONTOS QUEIMADOS.";"Centro                                                                                              ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-19";"Rua esburacada";"Buracos e via intransitável: Av Guadalajara, na entrada da Vila Santos Dumond.";"Cohab Tablada                                                                                       ";"Solicitação de Serviço";"Facebook - 1";"Aberto"
"2016-05-19";"Obra irregular";"CIDADÃO ALEGA QUE NO ENDEREÇO; RUA TIRADENTES, N°2610, BAIRRO; CENTRO, EXISTIR UMA CONSTRUÇÃO EM ANDAMENTO NO QUAL OS RESPONSÁVEIS NÃO EFETUARAM A CONFECÇÃO DE TAPUME CALÇADA, OCASIONANDO EM DIVERSOS ACIDENTES, DEVIDO DESTROÇOS DESSA OBRA ESTAREM CAINDO EM CIMA DAS PESSOAS.";"Centro                                                                                              ";"Reclamação";"Telefone";"Fechado"
"2016-05-19";"Estabelecimento Irregular";"Cidadão denuncia que na rua Tiradentes nº 53 entre Andrades e Quinze tem Hotel funcionando irregular sem alvará, sem placa, segundo o informante funciona das 10:30 até as 17:00 pede fiscalização URGENTE.   ";"Centro                                                                                              ";"Denuncia";"Presencial";"Fechado"
"2016-05-19";"Vazamento de água potável";"Cidadã denuncia que na rua Mauricio Siroski Sobrinho nº 91 entre Domingos de Almeida e RBS Jardim Europa tem um buraco enorme pois existe um vazamento de água  a smop colocou asfalto  no local mas só piorou os carros estão passando por cima da calçada pede providencia ";"Areal                                                                                               ";"Denuncia";"Telefone";"Fechado"
"2016-05-20";"Obra irregular";"Rua Carlos Giacoboni, número 1709.Trinta dias com essa obra irregular, com toda ocupação da calçada e da rua com os materiais. ";"Fragata                                                                                             ";"Denuncia";"Telefone";"Fechado"
"2016-05-20";"Poda e Retirada de Árvore";"Cidadão solicita a poda de uma arvore na rua Visconde de Ouro Preto nº 291 bairro Areal entre Domingos de Almeida e Ferreira Viana.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-20";"Poda e Retirada de Árvore";"Cidadã solicita a poda de arvore na rua São Luis Nº 335 no Bairro Santa Terezinha pede Urgente pois a arvore esta muito Grande.";"Três Vendas                                                                                         ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-20";"Unidade Básica de Saúde";"CIDADÃ ALEGA QUE NA UBS DO SITIO FLORESTA ESTA HAVENDO UM DESCASO COM A POPULAÇÃO, VISTO NÃO ESTAR HAVENDO ATENDIMENTO NA PARTE DA TARDE A POPULAÇÃO PELO SIMPLES FATO DE QUE A UBS NÃO POSSUI RECEPCIONISTA.";"Sítio Floresta                                                                                      ";"Reclamação";"Telefone";"Fechado"
"2016-05-20";"Iluminação Pública Irregular";"TROCA DE LAMPADA NO ENDEREÇO; AV DOMINGOS DE ALMEIDA, N°37341, BAIRRO; AREAL.";"Areal                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-20";"Poda e Retirada de Árvore";"Cidadão solicita a poda de uma arvore na rua Carmen Miranda nº 980 na Cohab Fragata Uma Praça fica na esquina do passeio 20 os caminhões passam e quebram os galhos pede com urgência.";"Fragata                                                                                             ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-20";"Iluminação Pública Irregular";"jose de alencar, 212, fátima, troca de lâmpada";"Porto                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-20";"Limpeza Urbana";"solicita capina de meio-fio em toda extensão da rua jose de alencar, bairro fátima";"Porto                                                                                               ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-23";"Recolhimento de entulho";"Solicitação de recolhimento de entulho na rua Candelária, em frente ao número 686. ";"Balneário dos Prazeres                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-23";"Não cumprimento de itinerários";"Cidadã reclama que os motoristas da TURF não estão parando na parada de onibus a noite em frente ao colegio municipal pelotense. OBS: apenas os quer fazem a linha guabiroba.";"Fragata                                                                                             ";"Denuncia";"Telefone";"Fechado"
"2016-05-23";"Poda e Retirada de Árvore";"Cidadão solicita a poda de uma arvore na Rua João da Silva Silveira esquina Dr. Calero nº 164 e da casa do solicitante solicitante deixou o telefone para contato 84365481 ";"Nossa Senhora de Fátima                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-23";"Terreno baldio";"AO LADO DA CASA 5088, NA JK. DE OLIVEIRA, TERRENO DE APROXIMADAMENTE 100 X 200 METROS COM GRANDE QUANTIDADE DE LIXO, ENTULHO, ANIMAIS MORTOS. ETC";"Três Vendas                                                                                         ";"Denuncia";"Telefone";"Fechado"
"2016-05-23";"Mau atendimento sanep";"Cidadão reclama de que o SANEP ficou de refazer o serviço e não apareceram mais por conter muita água no local o serviço é referente a um esgoto que uma arvore arrebentou e esta vazando na calçada o SANEP foi até o local abriu e ficou de voltar e não voltou fica na rua. Fica na rua Lot Idelfonso Simões Lopes Passeio 1 n°588 cidadão reclama e pede que o trabalho seja feito.";"Nossa Senhora de Fátima                                                                             ";"Reclamação";"Presencial";"Fechado"
"2016-05-23";"Recolhimento de entulho";"Solicitação de recolhimento de entulho na rua Candelária, em frente ao número 686. ";"Balneário dos Prazeres                                                                              ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-23";"Rua esburacada";"Cidadã solicita colocação de Saibro na rua Helmuth Hardt frente ao nº 271  ( antiga rua 8 ) no bairro Sitio Floresta pois devido ao transito de caminhões no local abriu diversos buracos pede com urgência pois quando chove não da para transitar por esta rua. ";"Sítio Floresta                                                                                      ";"Solicitação de Serviço";"Presencial";"Fechado"
"2016-05-23";"Poda e Retirada de Árvore";"Cidadão solicita a poda de arvores na Av. Olavo Afonso Alves toda a extensão  da Av. Juscelino até a Dr. Rasgado pois as mesmas estão muito grande causando transtorno para os moradores";"Nossa Senhora de Fátima                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-23";"Desobstrução de galeria";"SOLICITA DESOBSTRUÇÃO DE GALERIA: RUA HENRIQUE DIAS, N°67, BAIRRO: FRAGATA.";"Fragata                                                                                             ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-23";"Vazamento de água potável";"Cidadã denuncia que na rua Conde de Porto nº 568 tem um vazamento de água muito grande devido o transito de caminhão pesado.";"Porto                                                                                               ";"Denuncia";"Telefone";"Fechado"
"2016-05-23";"Bueiro Entupido ";"Cidadã solicita uma vistoria na Rua Barão de Cotegipe nº 362 no Bairro Cruzeiro Areal pois esta com alagamento devido a boeiro entupido segundo a cidadã a água esta escorrendo pela rua pede com urgência. ";"Cruzeiro                                                                                            ";"Solicitação de Serviço";"Telefone";"Fechado"
"2016-05-24";"Ônibus danificado ";"Cidadão entra em contato para questionar se a Empresa de transporte coletivo Turf vai realizar o transporte para a FENADOCE e solicitar fiscalização quanto à qualidade dos transportes e horários. Solicitamos resposta para que possamos repassar ao cidadão. ";"Centro                                                                                              ";"Informação";"Facebook - 1";"Fechado"
"2016-05-24";"Iluminação Pública Irregular";"Lâmpada queimada na rua Barão de Azevedo Machado, 196, Centro. ";"Centro                                                                                              ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
"2016-05-24";"Iluminação Pública Irregular";"Lâmpada obstruida pela árvore na rua St° Angelo, 116, no Laranjal. ";"Laranjal                                                                                            ";"Solicitação de Serviço";"Facebook - 1";"Fechado"
